x_bin,mean_x,n_x,y_coeff,y_se,y_coeff_scale,y_coeff_scale2,spec
1,8.06916747664529,480687,,,12.0153620634304,11.8692147910795,sales11
2,8.55295403083741,445361,0.014206523799581,0.00161285432144423,12.02956858723,11.8834213148791,sales11
3,8.67280636731196,451064,0.0358033122836152,0.00161290557175425,12.051165375714,11.9050181033631,sales11
4,8.72550444994987,458506,0.0569548033156591,0.00161319548117712,12.072316866746,11.9261695943951,sales11
5,8.79361258445606,458974,0.0433264123666221,0.00160728211522735,12.058688475797,11.9125412034461,sales11
6,8.86037878358934,527180,0.0637288334852274,0.00156001404214191,12.0790908969156,11.9329436245647,sales11
7,8.90852389723543,467643,0.0994163565356891,0.00161223172828983,12.1147784199661,11.9686311476152,sales11
8,8.95104809425702,396547,0.100744565528839,0.00169134811495878,12.1161066289592,11.9699593566083,sales11
9,9.00427335578097,444466,0.123314648520862,0.00163881373276628,12.1386767119512,11.9925294396003,sales11
10,9.06479451202119,459352,0.144144125968263,0.00162413337529817,12.1595061893986,12.0133589170477,sales11
11,9.13148641819582,515272,0.175251679219737,0.00159602360746115,12.1906137426501,12.0444664702992,sales11
12,9.19883460764185,404236,0.200038728415806,0.00171530425523929,12.2154007918462,12.0692535194953,sales11
13,9.25040928986624,465605,0.24621214850321,0.00162800104836881,12.2615742119336,12.1154269395827,sales11
14,9.31942361444056,449063,0.256954587442808,0.00165274359816207,12.2723166508732,12.1261693785223,sales11
15,9.40384162343774,459983,0.292792374429277,0.00164891412761961,12.3081544378596,12.1620071655088,sales11
16,9.52520919984963,497591,0.32269284189706,0.00162551596634153,12.3380549053274,12.1919076329765,sales11
17,9.65201136048046,419129,0.356683184955996,0.00171841478280127,12.3720452483864,12.2258979760355,sales11
18,9.85551351633142,471626,0.361911368061655,0.00167225042924572,12.377273431492,12.2311261591411,sales11
19,10.069143560078,445870,0.415403219332943,0.00171029840748427,12.4307652827633,12.2846180104124,sales11
20,10.8367892362694,458848,0.432788011575799,0.00174691566264599,12.4481500750062,12.3020028026553,sales11
1,8.06916747664529,480687,,,12.0153620634304,11.9846498189951,sales12
2,8.55295403083741,445361,0.026851778925107,0.00143390363511777,12.0422138423555,12.0115015979202,sales12
3,8.67280636731196,451064,0.0331484463808068,0.00143701423978728,12.0485105098112,12.0177982653759,sales12
4,8.72550444994987,458506,0.0456501482113652,0.00143933875711921,12.0610122116417,12.0302999672065,sales12
5,8.79361258445606,458974,0.0364009262601508,0.00143541659492558,12.0517629896905,12.0210507452552,sales12
6,8.86037878358934,527180,0.0324148163580507,0.00139575444104831,12.0477768797884,12.0170646353531,sales12
7,8.90852389723543,467643,0.0565949578954869,0.00144356226463976,12.0719570213259,12.0412447768906,sales12
8,8.95104809425702,396547,0.0593566010005283,0.00151304455838546,12.0747186644309,12.0440064199956,sales12
9,9.00427335578097,444466,0.0620711192756407,0.0014680590319857,12.077433182706,12.0467209382707,sales12
10,9.06479451202119,459352,0.0594594588262789,0.00145704804890281,12.0748215222567,12.0441092778214,sales12
11,9.13148641819582,515272,0.0722090708775432,0.00143489771419637,12.0875711343079,12.0568588898726,sales12
12,9.19883460764185,404236,0.0784942291882419,0.00154229837841714,12.0938562926186,12.0631440481833,sales12
13,9.25040928986624,465605,0.0894519222099311,0.00146739004308444,12.1048139856403,12.074101741205,sales12
14,9.31942361444056,449063,0.097422020685059,0.0014913006401145,12.1127840841154,12.0820718396802,sales12
15,9.40384162343774,459983,0.100361140676183,0.00149087923019158,12.1157232041066,12.0850109596713,sales12
16,9.52520919984963,497591,0.112942195883492,0.0014743196494899,12.1283042593139,12.0975920148786,sales12
17,9.65201136048046,419129,0.123502617333165,0.00156302907741833,12.1388646807635,12.1081524363283,sales12
18,9.85551351633142,471626,0.111780369426296,0.00152959349310308,12.1271424328567,12.0964301884214,sales12
19,10.069143560078,445870,0.128780938520717,0.00157289499707081,12.1441430019511,12.1134307575158,sales12
20,10.8367892362694,458848,0.0990934623180125,0.00163393279603123,12.1144555257484,12.0837432813131,sales12
1,8.06916747664529,480687,,,12.0153620634304,11.8828386708585,sales21
2,8.55295403083741,445361,0.0165690103984644,0.00167109431164914,12.0319310738288,11.899407681257,sales21
3,8.67280636731196,451064,0.0337269609610432,0.00167907029075711,12.0490890243914,11.9165656318196,sales21
4,8.72550444994987,458506,0.0490636967017235,0.00167838977830732,12.0644257601321,11.9319023675602,sales21
5,8.79361258445606,458974,0.0359843905823447,0.00166142040868363,12.0513464540127,11.9188230614409,sales21
6,8.86037878358934,527180,0.0536472959809242,0.00161257394421009,12.0690093594113,11.9364859668394,sales21
7,8.90852389723543,467643,0.0768527220162846,0.00167029692347094,12.0922147854467,11.9596913928748,sales21
8,8.95104809425702,396547,0.0880064135201518,0.00174116830965036,12.1033684769505,11.9708450843787,sales21
9,9.00427335578097,444466,0.112080985901879,0.00168825040516215,12.1274430493323,11.9949196567604,sales21
10,9.06479451202119,459352,0.13434012855338,0.00167411491408014,12.1497021919838,12.0171787994119,sales21
11,9.13148641819582,515272,0.159521090057523,0.00165216607786868,12.1748831534879,12.042359760916,sales21
12,9.19883460764185,404236,0.183511943191876,0.00177097414438837,12.1988740066222,12.0663506140504,sales21
13,9.25040928986624,465605,0.229439462815086,0.00168420281859039,12.2448015262455,12.1122781336736,sales21
14,9.31942361444056,449063,0.236602022400228,0.00170634505198371,12.2519640858306,12.1194406932588,sales21
15,9.40384162343774,459983,0.268031762112296,0.00170413855149751,12.2833938255427,12.1508704329708,sales21
16,9.52520919984963,497591,0.302736917332222,0.00167646740859091,12.3180989807626,12.1855755881907,sales21
17,9.65201136048046,419129,0.333712550957041,0.0017722225225588,12.3490746143874,12.2165512218156,sales21
18,9.85551351633142,471626,0.344147301851796,0.00172685104926656,12.3595093652822,12.2269859727103,sales21
19,10.069143560078,445870,0.400916936339773,0.00176302794466541,12.4162789997701,12.2837556071983,sales21
20,10.8367892362694,458848,0.410513705469399,0.001809463345294,12.4258757688998,12.2933523763279,sales21
1,8.06916747664529,480687,,,12.0153620634304,11.9920920497153,sales22
2,8.55295403083741,445361,0.0240902232642467,0.00149418653129727,12.0394522866946,12.0161822729796,sales22
3,8.67280636731196,451064,0.0320771851269563,0.00150482286838529,12.0474392485573,12.0241692348423,sales22
4,8.72550444994987,458506,0.0431806116074987,0.00150574334100405,12.0585426750379,12.0352726613228,sales22
5,8.79361258445606,458974,0.0319092043871583,0.00149207639249387,12.0472712678175,12.0240012541025,sales22
6,8.86037878358934,527180,0.0268900748561298,0.00145141709051253,12.0422521382865,12.0189821245715,sales22
7,8.90852389723543,467643,0.0439147284121702,0.00150421886012373,12.0592767918425,12.0360067781275,sales22
8,8.95104809425702,396547,0.0513720912772124,0.00156684073886299,12.0667341547076,12.0434641409925,sales22
9,9.00427335578097,444466,0.054597604308851,0.00152089750625483,12.0699596677392,12.0466896540242,sales22
10,9.06479451202119,459352,0.0520839870546355,0.0015103050682896,12.067446050485,12.04417603677,sales22
11,9.13148641819582,515272,0.0617496133699919,0.00149338548305253,12.0771116768004,12.0538416630853,sales22
12,9.19883460764185,404236,0.0688269775334208,0.00160096648679622,12.0841890409638,12.0609190272488,sales22
